title,"count TW","count total",key,publisher,url
"Actinomycetes Collection in BCRC",110,1266,5d2edbd0-6091-11de-a447-b8a03c50a862,"Bioresource Collection and Research Center (BCRC)",https://www.gbif.org/dataset/5d2edbd0-6091-11de-a447-b8a03c50a862
"T. L. Hankinson Vertebrate Museum (EMU) Mammal Collection",8,1242,ff2e788b-963a-4be8-8f96-d432d397ecbd,"T. L. Hankinson Vertebrate Museum, Eastern Michigan University",https://www.gbif.org/dataset/ff2e788b-963a-4be8-8f96-d432d397ecbd
"National Museum Of Marine Science & Technology",1212,1230,5767f180-98a1-11de-b4da-b8a03c50a862,TELDAP,https://www.gbif.org/dataset/5767f180-98a1-11de-b4da-b8a03c50a862
"Entomological collection of the National Museum",4,1196,167acd5c-9459-4e2d-86a1-ee9d6f5e5893,"National Museum in Prague",https://www.gbif.org/dataset/167acd5c-9459-4e2d-86a1-ee9d6f5e5893
"(Table 1) Relative abundance of 14 species of planktonic foraminifers of sediment core GIK17938-2",1168,1168,8200e7da-f762-11e1-a439-00145eb45e9a,"PANGAEA - Publishing Network for Geoscientific and Environmental Data",https://www.gbif.org/dataset/8200e7da-f762-11e1-a439-00145eb45e9a
"ZFMK Diptera collection",1,1037,f2259a44-c231-436a-a6de-0511e8e12811,"Zoologisches Forschungsinstitut und Museum Alexander Koenig",https://www.gbif.org/dataset/f2259a44-c231-436a-a6de-0511e8e12811
"National Museum of Marine Biology and Aquarium",890,1004,26ae0930-98a1-11de-b4da-b8a03c50a862,TELDAP,https://www.gbif.org/dataset/26ae0930-98a1-11de-b4da-b8a03c50a862
"Mollusca collection, Museum of Natural and Environmental History, Shizuoka",14,898,861ae8f2-f762-11e1-a439-00145eb45e9a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/861ae8f2-f762-11e1-a439-00145eb45e9a
CIRM-Levures,4,854,9842cdf1-f362-4922-ac80-5a6de0ebdb6a,"Institut National de la Recherche Agronomique (INRA)",https://www.gbif.org/dataset/9842cdf1-f362-4922-ac80-5a6de0ebdb6a
"(Table 2) Relative abundance of 13 species of planktonic foraminifers of sediment core GIK17938-2",844,844,820235e0-f762-11e1-a439-00145eb45e9a,"PANGAEA - Publishing Network for Geoscientific and Environmental Data",https://www.gbif.org/dataset/820235e0-f762-11e1-a439-00145eb45e9a
"U. S. National Parasite Collection's holdings from Robert L. Rausch",1,811,82c3a0ae-f762-11e1-a439-00145eb45e9a,Arctos,https://www.gbif.org/dataset/82c3a0ae-f762-11e1-a439-00145eb45e9a
"Arthropoda Collection of the Seto Marine Biological Laboratory, Kyoto University",2,752,534abda8-18f5-11e2-98fb-00145eb45e9a,"National Museum of Nature and Science, Japan",https://www.gbif.org/dataset/534abda8-18f5-11e2-98fb-00145eb45e9a
"DSMZ Collection of Plant Viruses",8,732,86403148-f762-11e1-a439-00145eb45e9a,"Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures",https://www.gbif.org/dataset/86403148-f762-11e1-a439-00145eb45e9a
